GBAC,isolate,country,host,collection_date,taxon,uclust17nt,mmseq17nt,uclust7aa,mmseq7aa
OP432297/NA/HAstV-4-QD-L-22001/human/NA/MAstV1,,HAstV-4-QD-L-22001,human,,MAstV1,50,1,10,7
OP432298/NA/HAstV-4-QD-S-22015/human/NA/MAstV1,,HAstV-4-QD-S-22015,human,,MAstV1,5,1,10,7
OP432299/NA/HAstV-4-RC-21045/human/NA/MAstV1,,HAstV-4-RC-21045,human,,MAstV1,50,1,10,7
OP432300/NA/HAstV-4-QD-S-22022/human/NA/MAstV1,,HAstV-4-QD-S-22022,human,,MAstV1,50,1,10,7
OP432301/NA/HAstV-4-QD-L-22019/human/NA/MAstV1,,HAstV-4-QD-L-22019,human,,MAstV1,5,1,10,7
OQ968302/NA/20259-SD-CHN-HAstV-1/human/NA/MAstV1,,20259-SD-CHN-HAstV-1,human,,MAstV1,5,1,10,7
OQ968303/NA/20286-SD-CHN-HAstV-1/human/NA/MAstV1,,20286-SD-CHN-HAstV-1,human,,MAstV1,5,1,10,7
OQ968304/NA/20307-SD-CHN-HAstV-1/human/NA/MAstV1,,20307-SD-CHN-HAstV-1,human,,MAstV1,5,1,10,7
OQ968305/NA/21047-SD-CHN-HAstV-1/human/NA/MAstV1,,21047-SD-CHN-HAstV-1,human,,MAstV1,5,1,10,7
OQ968306/NA/21048-SD-CHN-HAstV-1/human/NA/MAstV1,,21048-SD-CHN-HAstV-1,human,,MAstV1,5,1,10,7
OQ968307/NA/21079-SD-CHN-HAstV-1/human/NA/MAstV1,,21079-SD-CHN-HAstV-1,human,,MAstV1,5,1,10,7
OQ968308/NA/20155-SD-CHN-MLB1/human/NA/MAstV6,,20155-SD-CHN-MLB1,human,,MAstV6,14,18,25,19
OQ968309/NA/20238-SD-CHN-MLB1/human/NA/MAstV6,,20238-SD-CHN-MLB1,human,,MAstV6,14,18,25,19
OQ968310/NA/20248-SD-CHN-MLB1/human/NA/MAstV6,,20248-SD-CHN-MLB1,human,,MAstV6,14,18,25,19
OQ968311/NA/20274-SD-CHN-MLB1/human/NA/MAstV6,,20274-SD-CHN-MLB1,human,,MAstV6,14,18,25,19
OQ968312/NA/21153-SD-CHN-VA2/human/NA/MAstV8,,21153-SD-CHN-VA2,human,,MAstV8,25,15,28,25
AF260508/NA/NA/NA/NA/MAstV1,,,human,,MAstV1,50,1,10,7
AY720891/NA/NA/NA/NA/MAstV1,,,human,,MAstV1,50,1,10,7
AY720892/NA/NA/NA/NA/MAstV1,,,human,,MAstV1,5,1,10,7
DQ028633/NA/Goiania-GO-12-94-Brazil/NA/NA/MAstV1,,Goiania-GO-12-94-Brazil,human,,MAstV1,50,1,10,7
DQ070852/NA/Goiania-GO-12-95-Brazil/NA/NA/MAstV1,,Goiania-GO-12-95-Brazil,human,,MAstV1,50,1,10,7
DQ344027/NA/Guangzhou/NA/NA/MAstV1,,Guangzhou,human,,MAstV1,5,1,10,7
HM237363/NA/Katano/NA/NA/MAstV1,,Katano,human,,MAstV1,5,1,10,7
MK059949/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MK059950/NA/NA/human/NA/MAstV1,,,human,,MAstV1,50,1,10,7
MK059951/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MK059952/NA/NA/human/NA/MAstV1,,,human,,MAstV1,50,1,10,7
MK059953/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MK059954/NA/NA/human/NA/MAstV1,,,human,,MAstV1,50,1,10,7
MK059955/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MK059956/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
Z25771/NA/NA/NA/NA/MAstV1,,,human,,MAstV1,5,1,10,7
NC_011400/NA/MLB1/NA/NA/MAstV6,,MLB1,human,,MAstV6,14,18,25,19
FJ402983/NA/NA/NA/NA/MAstV6,,,human,,MAstV6,14,18,25,19
KJ920196/NA/HMO-CLondon1/NA/NA/MAstV9,,HMO-CLondon1,human,,MAstV9,26,13,19,23
KJ920197/NA/HMO-CLondon2/NA/NA/MAstV9,,HMO-CLondon2,human,,MAstV9,26,13,19,23
MZ603071/NA/HAstV-MLB1-RVAB/NA/NA/MAstV6,,HAstV-MLB1-RVAB,human,,MAstV6,14,18,25,19
MZ603076/NA/HAstV-VA2-RVAB/NA/NA/MAstV8,,HAstV-VA2-RVAB,human,,MAstV8,25,15,28,25
KM358468/NA/NA/NA/NA/MAstV9,,,human,,MAstV9,26,13,19,23
KM401565/NA/NA/NA/NA/MAstV9,,,human,,MAstV9,26,13,19,23
NC_033792/NA/HHMAstV1/marmot/NA/NA,,HHMAstV1,marmot,,,52,34,55,1
NC_033821/NA/HHMAstV2/marmot/NA/NA,,HHMAstV2,marmot,,,39,36,3,4
GU985458/NA/SMS-AstV/mink/NA/NA,,SMS-AstV,mink,,,19,7,47,42
MK211323/NA/NA/ovibos/NA/MAstV13,,,ovibos,,MAstV13,21,0,12,49
LT898424/NA/PAstV-GER-L00919-K17-14-02-2014/NA/NA/NA,,PAstV-GER-L00919-K17-14-02-2014,pig,,,11,4,1,11
LT898434/NA/PAstV-GER-L00855-K14-14-04-2014/NA/NA/NA,,PAstV-GER-L00855-K14-14-04-2014,pig,,,9,39,17,37
MW784069/NA/7-168877/NA/NA/NA,,7-168877,pig,,,9,39,17,37
MW784070/NA/7-333329/NA/NA/NA,,7-333329,pig,,,6,2,9,55
MW784071/NA/8-286142/NA/NA/NA,,8-286142,pig,,,6,2,9,55
MW784072/NA/9-123138/NA/NA/NA,,9-123138,pig,,,9,39,17,37
MW784073/NA/67-73244/NA/NA/NA,,67-73244,pig,,,6,2,9,55
MW784074/NA/68-5299/NA/NA/NA,,68-5299,pig,,,6,2,9,55
MW784075/NA/85-137625/NA/NA/NA,,85-137625,pig,,,13,39,2,12
MW784076/NA/86-105857/NA/NA/NA,,86-105857,pig,,,9,39,17,37
MW784077/NA/86-165985/NA/NA/NA,,86-165985,pig,,,9,39,17,37
MW784078/NA/87-370059/NA/NA/NA,,87-370059,pig,,,9,39,17,37
MW784079/NA/226-105986/NA/NA/NA,,226-105986,pig,,,9,39,14,37
MW784081/NA/227-2671/NA/NA/NA,,227-2671,pig,,,13,39,2,12
MW784082/NA/227-342448/NA/NA/NA,,227-342448,pig,,,9,39,17,37
MW784083/NA/227-67505/NA/NA/NA,,227-67505,pig,,,9,39,14,3
MW784084/NA/228-114947/NA/NA/NA,,228-114947,pig,,,32,29,18,20
MW784087/NA/276-120415/NA/NA/NA,,276-120415,pig,,,9,39,14,3
MW784088/NA/276-151000/NA/NA/NA,,276-151000,pig,,,6,2,9,55
MW784090/NA/286-165764/NA/NA/NA,,286-165764,pig,,,6,2,9,55
MW784091/NA/287-203354/NA/NA/NA,,287-203354,pig,,,9,39,17,37
MW784092/NA/287-60804/NA/NA/NA,,287-60804,pig,,,13,39,2,12
MW784093/NA/288-122863/NA/NA/NA,,288-122863,pig,,,6,2,9,55
MW784095/NA/138bR-178666/NA/NA/NA,,138bR-178666,pig,,,6,2,9,55
MW784096/NA/275R-116493/NA/NA/NA,,275R-116493,pig,,,6,2,9,55
MW784098/NA/302R-449000/NA/NA/NA,,302R-449000,sheep,,,54,40,26,57
MW784100/NA/R49-1743887/NA/NA/NA,,R49-1743887,sheep,,,20,6,27,14
MW784101/NA/R67-109978/NA/NA/NA,,R67-109978,pig,,,6,2,9,55
MW784102/NA/R67-15434/NA/NA/NA,,R67-15434,pig,,,32,29,18,20
MW784105/NA/R69-151373/NA/NA/NA,,R69-151373,pig,,,13,39,2,12
MW784106/NA/R96-75684/NA/NA/NA,,R96-75684,pig,,,13,39,2,12
MW784107/NA/s68-431397/NA/NA/NA,,s68-431397,pig,,,6,2,9,55
MW784108/NA/s68-555025/NA/NA/NA,,s68-555025,pig,,,9,39,17,37
MW784109/NA/s68-796037/NA/NA/NA,,s68-796037,pig,,,9,39,14,3
NC_016896/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
NC_019494/NA/US-MO123/pig/NA/NA,,US-MO123,pig,,,11,4,1,11
NC_023674/NA/NA/pig/NA/NA,,,pig,,,13,39,2,12
NC_023675/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
NC_025379/NA/PAstV-GX1/pig/NA/MAstV3,,PAstV-GX1,pig,,MAstV3,34,52,33,5
NC_034974/NA/K321/pig/NA/NA,,K321,pig,,,9,39,14,3
GQ914773/NA/NA/pig/NA/MAstV3,,,pig,,MAstV3,34,52,33,5
JF713712/NA/NA/pig/NA/NA,,,pig,,,13,39,2,12
JX556690/NA/AstV2-US-IA122/pig/NA/NA,,AstV2-US-IA122,pig,,,13,39,2,12
JX556692/NA/AstV4-US-IL135/pig/NA/NA,,AstV4-US-IL135,pig,,,6,2,9,55
KJ495986/NA/NA/pig/NA/NA,,,pig,,,13,39,2,12
KP747573/NA/AstV-LL-1/pig/NA/NA,,AstV-LL-1,pig,,,9,39,17,37
KP747574/NA/AstV-LL-2/pig/NA/NA,,AstV-LL-2,pig,,,17,9,13,16
KP759770/NA/KNU14-07/pig/NA/NA,,KNU14-07,pig,,,9,39,17,37
KT892954/NA/1791/pig/NA/NA,,1791,pig,,,6,2,9,55
KT892958/NA/3330/pig/NA/NA,,3330,pig,,,6,2,9,55
KT892961/NA/4331/pig/NA/NA,,4331,pig,,,6,2,9,55
KT892964/NA/7351v2/pig/NA/NA,,7351v2,pig,,,13,39,2,12
KU764484/NA/15-13/pig/NA/NA,,15-13,pig,,,6,2,9,55
KU764485/NA/15-14/pig/NA/NA,,15-14,pig,,,6,2,9,55
KU764486/NA/15-12/pig/NA/NA,,15.дек,pig,,,6,2,9,55
KX033447/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
KX060808/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
KX060809/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
KY073229/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
KY073231/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
KY073232/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
KY933398/NA/K456/pig/NA/NA,,K456,pig,,,6,2,9,55
KY933399/NA/U460/pig/NA/NA,,U460,pig,,,41,26,52,36
KY940075/NA/K451/pig/NA/NA,,K451,pig,,,32,29,18,20
KY940077/NA/U083/pig/NA/NA,,U083,pig,,,9,39,17,37
KY940545/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
LC201585/NA/NA/pig/NA/NA,,,pig,,,13,39,2,12
LC201586/NA/NA/pig/NA/NA,,,pig,,,13,39,2,12
LC201587/NA/NA/pig/NA/NA,,,pig,,,9,39,17,37
LC201588/NA/NA/pig/NA/NA,,,pig,,,9,39,17,37
LC201589/NA/NA/pig/NA/NA,,,pig,,,13,39,2,12
LC201590/NA/NA/pig/NA/NA,,,pig,,,9,39,17,37
LC201591/NA/NA/pig/NA/NA,,,pig,,,9,39,17,37
LC201592/NA/NA/pig/NA/NA,,,pig,,,9,39,14,37
LC201593/NA/NA/pig/NA/NA,,,pig,,,9,39,14,37
LC201594/NA/NA/pig/NA/NA,,,pig,,,13,39,2,12
LC201595/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
LC201596/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
LC201597/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
LC201598/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
LC201599/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
LC201600/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201601/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201602/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201603/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201604/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201605/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201606/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201607/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201608/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201609/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201610/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201611/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201612/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201613/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
LC201614/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
MG930777/NA/NA/pig/NA/NA,,,pig,,,9,39,17,37
MH425243/NA/TJ060606/pig/NA/NA,,TJ060606,pig,,,6,2,9,55
MK378474/NA/PoAstV-VIRES-GX03-C2/pig/NA/NA,,PoAstV-VIRES-GX03-C2,pig,,,13,39,2,12
MK378475/NA/PoAstV-VIRES-GX03-C3/pig/NA/NA,,PoAstV-VIRES-GX03-C3,pig,,,6,2,9,55
MK378498/NA/PoAstV-VIRES-GZ04-C6/pig/NA/NA,,PoAstV-VIRES-GZ04-C6,pig,,,17,9,13,16
MK378505/NA/PoAstV-VIRES-HeB02-C1/pig/NA/NA,,PoAstV-VIRES-HeB02-C1,pig,,,13,39,2,12
MK378516/NA/PoAstV-VIRES-HeB04-C3/pig/NA/NA,,PoAstV-VIRES-HeB04-C3,pig,,,17,9,13,16
MK378521/NA/PoAstV-VIRES-HLJ01-C2/pig/NA/NA,,PoAstV-VIRES-HLJ01-C2,pig,,,9,39,17,37
MK378522/NA/PoAstV-VIRES-HLJ01-C3/pig/NA/NA,,PoAstV-VIRES-HLJ01-C3,pig,,,17,9,13,16
MK378528/NA/PoAstV-VIRES-HLJ01-C9/pig/NA/NA,,PoAstV-VIRES-HLJ01-C9,pig,,,13,39,2,12
MK378535/NA/PoAstV-VIRES-HuB01-C2/pig/NA/NA,,PoAstV-VIRES-HuB01-C2,pig,,,6,2,9,55
MK378536/NA/PoAstV-VIRES-HuN01-C1/pig/NA/NA,,PoAstV-VIRES-HuN01-C1,pig,,,6,2,9,55
MK378537/NA/PoAstV-VIRES-HuN01-C2/pig/NA/NA,,PoAstV-VIRES-HuN01-C2,pig,,,6,2,9,55
MK378538/NA/PoAstV-VIRES-HuN01-C3/pig/NA/NA,,PoAstV-VIRES-HuN01-C3,pig,,,13,39,2,12
MK378539/NA/PoAstV-VIRES-JL01-C1/pig/NA/NA,,PoAstV-VIRES-JL01-C1,pig,,,6,2,9,55
MK378540/NA/PoAstV-VIRES-JL01-C2/pig/NA/NA,,PoAstV-VIRES-JL01-C2,pig,,,17,9,13,16
MK378548/NA/PoAstV-VIRES-NM01-C1/pig/NA/NA,,PoAstV-VIRES-NM01-C1,pig,,,6,2,9,55
MK378551/NA/PoAstV-VIRES-NM02-C1/pig/NA/NA,,PoAstV-VIRES-NM02-C1,pig,,,6,2,9,55
MK378555/NA/PoAstV-VIRES-NM02-C5/pig/NA/NA,,PoAstV-VIRES-NM02-C5,pig,,,17,9,13,16
MK378559/NA/PoAstV-VIRES-NM02-C9/pig/NA/NA,,PoAstV-VIRES-NM02-C9,pig,,,6,2,9,55
MK378564/NA/PoAstV-VIRES-NX01-C2/pig/NA/NA,,PoAstV-VIRES-NX01-C2,pig,,,6,2,9,55
MK378569/NA/PoAstV-VIRES-NX02-C4/pig/NA/NA,,PoAstV-VIRES-NX02-C4,pig,,,17,9,13,16
MK378574/NA/PoAstV-VIRES-YN01-C2/pig/NA/NA,,PoAstV-VIRES-YN01-C2,pig,,,6,2,9,55
MK378580/NA/PoAstV-VIRES-YN01-C8/pig/NA/NA,,PoAstV-VIRES-YN01-C8,pig,,,6,2,9,55
MK378582/NA/PoAstV-VIRES-YN02-C1/pig/NA/NA,,PoAstV-VIRES-YN02-C1,pig,,,13,39,2,12
MK378588/NA/PoAstV-VIRES-ZJ01-C2/pig/NA/NA,,PoAstV-VIRES-ZJ01-C2,pig,,,13,39,2,12
MK460230/NA/PoAstV2-CHN-WG-R2-2017/pig/NA/NA,,PoAstV2-CHN-WG-R2-2017,pig,,,13,39,2,12
MK460231/NA/PoAstV4-CHN-WG-R2-2017/pig/NA/NA,,PoAstV4-CHN-WG-R2-2017,pig,,,6,2,9,55
MK613068/NA/PAstV-CH-HB-SJZ-2018/pig/NA/NA,,PAstV-CH-HB-SJZ-2018,pig,,,6,2,9,55
MK962341/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MK962342/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MN241818/NA/NA/pig/NA/NA,,,pig,,,9,39,17,37
MT451917/NA/K366/pig/NA/NA,,K366,pig,,,6,2,9,55
MT451918/NA/K062/pig/NA/NA,,K062,pig,,,6,2,9,55
MT642666/NA/NA/pig/NA/NA,,,pig,,,6,2,9,55
MW504551/NA/15211-AST-len-5924-cov-1028-513035/pig/NA/NA,,15211-AST-len-5924-cov-1028-513035,pig,,,13,39,2,12
MW504559/NA/15211-AST-len-6300-cov-172-501041/pig/NA/NA,,15211-AST-len-6300-cov-172-501041,pig,,,9,39,17,37
MW504573/NA/15213-AST-len-6253-cov-80-443692/pig/NA/NA,,15213-AST-len-6253-cov-80-443692,pig,,,6,2,9,55
MW653748/NA/USA-IA-6535D-2018/pig/NA/NA,,USA-IA-6535D-2018,pig,,,11,4,1,11
MW653749/NA/USA-IA-53214C-2018/pig/NA/NA,,USA-IA-53214C-2018,pig,,,11,4,1,11
MW653750/NA/USA-IA-53797GA-2019/pig/NA/NA,,USA-IA-53797GA-2019,pig,,,11,4,1,11
MW653751/NA/USA-IA-72701A-2019/pig/NA/NA,,USA-IA-72701A-2019,pig,,,11,4,1,11
MW653752/NA/USA-IA-72701B-2019/pig/NA/NA,,USA-IA-72701B-2019,pig,,,11,4,1,11
MW653753/NA/USA-IA-32345-2020/pig/NA/NA,,USA-IA-32345-2020,pig,,,11,4,1,11
MW732145/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732146/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732147/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732148/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732149/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732150/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732151/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732152/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732153/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732154/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732155/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732156/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW732157/NA/NA/pig/NA/NA,,,pig,,,11,4,1,11
MW962975/NA/PAstV4-YN01-2020/pig/NA/NA,,PAstV4-YN01-2020,pig,,,6,2,9,55
MZ819164/NA/PoAstV2-Swine-CHI-FB036-2017/pig/NA/NA,,PoAstV2-Swine-CHI-FB036-2017,pig,,,13,39,2,12
MZ819165/NA/PoAstV2-Swine-CHI-CF2673-2017/pig/NA/NA,,PoAstV2-Swine-CHI-CF2673-2017,pig,,,13,39,2,12
OL689632/NA/AH-1/pig/NA/MAstV3,,AH-1,pig,,MAstV3,34,25,33,5
OL695849/NA/AH4-2/pig/NA/NA,,AH4-2,pig,,,6,2,9,55
OL695850/NA/AH4-3/pig/NA/NA,,AH4-3,pig,,,6,2,9,55
OL695851/NA/AH2-1/pig/NA/NA,,AH2-1,pig,,,9,39,14,3
OL695852/NA/AH2-2/pig/NA/NA,,AH2-2,pig,,,13,39,2,12
OL695853/NA/AH2-3/pig/NA/NA,,AH2-3,pig,,,13,39,2,12
OL695854/NA/AH2-4/pig/NA/NA,,AH2-4,pig,,,9,39,17,37
OL695856/NA/AH2-6/pig/NA/NA,,AH2-6,pig,,,9,39,14,37
OL695857/NA/AH2-7/pig/NA/NA,,AH2-7,pig,,,9,39,17,37
OM104029/NA/BSF3/pig/NA/NA,,BSF3,pig,,,6,2,9,55
OM104030/NA/BSF3/pig/NA/NA,,BSF3,pig,,,6,2,9,55
OM104031/NA/BSF3/pig/NA/NA,,BSF3,pig,,,9,39,14,37
OM105003/NA/BSF1-C2/pig/NA/NA,,BSF1-C2,pig,,,13,39,2,12
OM105032/NA/BSF2/pig/NA/NA,,BSF2,pig,,,6,2,9,55
OM105035/NA/BSF2/pig/NA/MAstV3,,BSF2,pig,,MAstV3,34,52,33,5
OM105048/NA/BSF1/pig/NA/NA,,BSF1,pig,,,9,39,17,37
OM966722/NA/BSF2/pig/NA/NA,,BSF2,pig,,,13,39,2,12
OM966723/NA/BSF3/pig/NA/NA,,BSF3,pig,,,13,39,2,12
ON714996/NA/SP-VC36/pig/NA/NA,,SP-VC36,pig,,,13,39,2,12
ON714997/NA/SP-VC9/pig/NA/NA,,SP-VC9,pig,,,13,39,2,12
ON714998/NA/SP-VC29/pig/NA/NA,,SP-VC29,pig,,,9,39,14,37
ON714999/NA/SP-VC41/pig/NA/NA,,SP-VC41,pig,,,9,39,17,37
ON715001/NA/SP-VC29/pig/NA/NA,,SP-VC29,pig,,,11,4,1,11
ON792967/NA/SP-VC29/pig/NA/NA,,SP-VC29,pig,,,6,2,9,55
ON792968/NA/SP-VC41/pig/NA/NA,,SP-VC41,pig,,,6,2,9,55
ON792969/NA/SP-VT9/pig/NA/NA,,SP-VT9,pig,,,6,2,9,55
ON792970/NA/SP-VC9/pig/NA/NA,,SP-VC9,pig,,,6,2,9,55
ON792971/NA/SP-VC19/pig/NA/NA,,SP-VC19,pig,,,6,2,9,55
ON792972/NA/SP-VT41/pig/NA/NA,,SP-VT41,pig,,,6,2,9,55
KJ496001/NA/PFTS-2/pig/NA/NA,,PFTS-2,pig,,,13,39,2,12
KP982872/NA/Bel-12R021/pig/NA/NA,,Bel-12R021,pig,,,9,39,17,37
OM480532/NA/NA/porcupine/NA/NA,,,porcupine,,,17,9,13,16
NC_025346/NA/TN-rabbit-10-2208/rabbit/NA/NA,,TN-rabbit-10-2208,rabbit,,,1,30,29,40
MT506231/NA/RoAstV-CHN-S3/rat/NA/NA,,RoAstV-CHN-S3,rat,,,57,17,45,27
MT549855/NA/CHN-01/rat/NA/NA,,CHN-01,rat,,,6,2,9,55
MT549858/NA/CHN-147/rat/NA/NA,,CHN-147,rat,,,16,21,24,33
MT549859/NA/CHN-148/rat/NA/NA,,CHN-148,rat,,,16,21,46,33
MW149253/NA/NA/rat/NA/NA,,,rat,,,16,21,24,56
MZ357118/NA/Moin135AstV01-8/rat/NA/NA,,Moin135AstV01-8,rat,,,43,38,16,54
ON932805/NA/AstroV-HMU-3/rat/NA/NA,,AstroV-HMU-3,rat,,,43,38,16,54
MK286562/NA/NA/NA/NA/NA,,,sheep,,,46,53,6,32
LT706530/NA/UK-2014-lamb-lib01455/NA/NA/NA,,UK-2014-lamb-lib01455,sheep,,,46,53,6,32
LT706531/NA/UK-2013-ewe-lib01454/NA/NA/NA,,UK-2013-ewe-lib01454,sheep,,,46,53,6,32
NC_002469/NA/NA/sheep/NA/MAstV13,,,sheep,,MAstV13,21,0,12,49
KY859988/NA/NA/sheep/NA/NA,,,sheep,,,46,53,6,32
ON885952/NA/NA/takin/NA/NA,,,takin,,,7,47,0,17
MN148428/NA/NA/tiger/NA/MAstV2,,,tiger,,MAstV2,8,25,4,9
ON885949/NA/NA/water-buffalo/NA/NA,,,water-buffalo,,,47,49,15,51
ON885950/NA/NA/water-buffalo/NA/NA,,,water-buffalo,,,38,49,15,51
ON885951/NA/NA/water-buffalo/NA/NA,,,water-buffalo,,,47,49,15,51
KM822593/NA/S8/yak/NA/NA,,S8,yak,,,7,47,0,17
